date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:58:03	392/392	---M-Z	200	added ('OK')	text/css	etag:%22188-5f1d4a68f37d3-gzip%22	https://www.switchmobilityev.com/core/themes/stable/css/system/components/tablesort.module.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/stable/css/system/components/tablesort.module8496.css	(from https://www.switchmobilityev.com/en)
15:58:03	496/496	---M-Z	200	added ('OK')	text/css	etag:%221f0-5f1d4a68f37d3-gzip%22	https://www.switchmobilityev.com/core/themes/stable/css/system/components/tree-child.module.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/stable/css/system/components/tree-child.module8496.css	(from https://www.switchmobilityev.com/en)
15:58:03	12297/12297	---M-Z	200	added ('OK')	text/css	etag:%223009-5f1d4a682c44c-gzip%22	https://www.switchmobilityev.com/libraries/cookiesjsr/dist/cookiesjsr.min.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/libraries/cookiesjsr/dist/cookiesjsr.min8496.css	(from https://www.switchmobilityev.com/en)
15:58:04	457/457	---M-Z	200	added ('OK')	text/css	etag:%221c9-5f1d4a68f9593-gzip%22	https://www.switchmobilityev.com/core/themes/stable/css/views/views.module.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/stable/css/views/views.module8496.css	(from https://www.switchmobilityev.com/en)
15:58:04	995/995	---M-Z	200	added ('OK')	text/css	etag:%223e3-5f1d4a7416193-gzip%22	https://www.switchmobilityev.com/modules/contrib/addtoany/css/addtoany.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/modules/contrib/addtoany/css/addtoany8496.css	(from https://www.switchmobilityev.com/en)
15:58:04	875/875	---M-Z	200	added ('OK')	text/css	etag:%2236b-5f1d4a68d14f2-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/action-links.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/action-links8496.css	(from https://www.switchmobilityev.com/en)
15:58:05	520/520	---M-Z	200	added ('OK')	text/css	etag:%22208-5f1d4a68d2492-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/breadcrumb.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/breadcrumb8496.css	(from https://www.switchmobilityev.com/en)
15:58:05	219/219	---M-Z	200	added ('OK')	text/css	etag:%22db-5f1d4a68d2492-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/button.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/button8496.css	(from https://www.switchmobilityev.com/en)
15:58:05	857/857	---M-Z	200	added ('OK')	text/css	etag:%22359-5f1d4a68d2492-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/collapse-processed.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/collapse-processed8496.css	(from https://www.switchmobilityev.com/en)
15:58:06	499/499	---M-Z	200	added ('OK')	text/css	etag:%221f3-5f1d4a68d14f2-gzip%22	https://www.switchmobilityev.com/core/themes/classy/css/components/container-inline.css?rqs2xq	D:/BroaddCast/Switch/www.switchmobilityev.com/core/themes/classy/css/components/container-inline8496.css	(from https://www.switchmobilityev.com/en)
